movieId,index
791549,1369
223365,1370
69415,1371
23788,1372
512866,1373
53883,1374
115067,1375
1384565,1376
181638,1377
241882,1378
304074,1379
530757,1380
171492,1381
395075,1382
1563949,1383
72346,1384
1554726,1385
769857,1386
484641,1387
1156054,1388
618176,1389
1612054,1390
1524066,1391
752961,1392
250546,1393
521029,1394
864403,1395
396422,1396
478200,1397
66307,1398
316848,1399
48757,1400
80798,1401
234586,1402
66534,1403
1111580,1404
819735,1405
199806,1406
1503343,1407
155518,1408
240143,1409
424277,1410
1032293,1411
716579,1412
703,1413
300668,1414
1597017,1415
1126336,1416
19978,1417
411053,1418
108777,1419
1309121,1420
899405,1421
1064213,1422
571632,1423
118011,1424
37221,1425
1447696,1426
1376831,1427
32213,1428
580175,1429
936559,1430
1470329,1431
730849,1432
102899,1433
363088,1434
640146,1435
931895,1436
1405456,1437
887329,1438
49190,1439
566486,1440
834654,1441
755488,1442
80859,1443
217225,1444
1642665,1445
1503341,1446
1548804,1447
348060,1448
1198434,1449
30843,1450
1112202,1451
1627554,1452
402050,1453
401465,1454
890533,1455
661080,1456
80862,1457
292140,1458
579402,1459
578435,1460
1593659,1461
1542674,1462
798016,1463
406162,1464
1060100,1465
958483,1466
995589,1467
361036,1468
669123,1469
46370,1470
135041,1471
834664,1472
375122,1473
1072790,1474
1423035,1475
28805,1476
1371120,1477
287231,1478
135706,1479
904809,1480
269844,1481
947905,1482
960346,1483
1318447,1484
1554985,1485
773584,1486
1595736,1487
303106,1488
60124,1489
819737,1490
627964,1491
1615701,1492
28,1493
1118031,1494
1579,1495
568,1496
1647222,1497
366320,1498
66336,1499
66365,1500
355688,1501
151635,1502
278189,1503
1495716,1504
402696,1505
627157,1506
525692,1507
885272,1508
11633,1509
269650,1510
13981,1511
1380109,1512
180736,1513
619078,1514
413278,1515
687860,1516
1584506,1517
40906,1518
801466,1519
194950,1520
99116,1521
62569,1522
32152,1523
282554,1524
199583,1525
297802,1526
572802,1527
760942,1528
104638,1529
158955,1530
452700,1531
234828,1532
13970,1533
79662,1534
1646145,1535
627420,1536
280352,1537
450708,1538
1210047,1539
33794,1540
1235426,1541
270990,1542
280116,1543
367842,1544
858073,1545
1140905,1546
281361,1547
569374,1548
306299,1549
1495293,1550
69439,1551
78630,1552
691310,1553
114756,1554
241119,1555
534530,1556
521854,1557
792027,1558
107652,1559
1645006,1560
107235,1561
1548516,1562
804370,1563
103073,1564
672955,1565
714888,1566
582134,1567
68734,1568
416728,1569
913497,1570
218217,1571
263505,1572
63666,1573
104858,1574
603553,1575
1595203,1576
1648189,1577
277923,1578
1086474,1579
864245,1580
96112,1581
80856,1582
1645110,1583
1541316,1584
722382,1585
1605907,1586
213565,1587
473234,1588
1447219,1589
566487,1590
117369,1591
889057,1592
1607621,1593
194962,1594
1578324,1595
560204,1596
1325953,1597
95,1598
1182387,1599
160261,1600
15383,1601
503736,1602
605027,1603
295961,1604
188540,1605
329865,1606
212,1607
11540,1608
954905,1609
125183,1610
892120,1611
572634,1612
192715,1613
42949,1614
9992,1615
26505,1616
597089,1617
1162721,1618
758208,1619
1233531,1620
716514,1621
218925,1622
693459,1623
63674,1624
1616237,1625
66245,1626
1629780,1627
31629,1628
607693,1629
423191,1630
280303,1631
282592,1632
1566808,1633
1575797,1634
2898,1635
555790,1636
84797,1637
113388,1638
1554342,1639
241863,1640
487850,1641
1020445,1642
68380,1643
569578,1644
860410,1645
161439,1646
1509694,1647
543735,1648
1589782,1649
1647083,1650
581387,1651
